#uniqueId raJ2000 decJ2000 phoSimMagNorm umag rmag gmag imag zmag ymag
31565374439428 89.6511396 -34.1549978 8.60370411 10.3392471 8.2361256 8.8620408 7.9911451 7.88446 7.8297763
31036481021956 88.2428017 -34.0806686 9.85203949 11.3052027 9.638376 10.1071525 9.4536233 9.3669327 9.3336101
31040650909700 88.8795646 -34.4703189 9.79244419 11.9115021 9.3196463 10.1075887 9.0124877 8.8783871 8.7983883
31040647328772 88.7265974 -34.3504816 9.8343779 11.7018146 9.4753776 10.1297337 9.225422 9.1177043 9.0576508
31844458445828 88.8442116 -34.2319158 9.31552347 11.0818077 8.9892025 9.5910276 8.7625109 8.665922 8.6140728
31040661220356 89.9619966 -34.6310893 9.55348912 11.474423 9.114378 9.8180748 8.844696 8.7306774 8.6648847
31844535782404 89.4256699 -34.6154219 9.20369346 11.160964 8.7669161 9.4843683 8.4904614 8.372538 8.3040877
31040806800388 97.9377086 -35.6755247 8.74955726 10.1852128 8.521443 8.9967137 8.3347106 8.2531948 8.217801
31040804852740 97.8670536 -35.672149 8.30006058 10.4509171 7.9163295 8.6899222 7.6109825 7.4730529 7.3919516
455704380420 91.4334896 -20.9504427 9.72355462 11.0303887 9.54946 9.9436777 9.3983665 9.3315478 9.3083176
31040652760068 89.7093189 -34.3499265 9.76712252 11.0568745 9.5599429 9.9546157 9.4102788 9.3456693 9.3227351
455706046468 91.4457661 -21.0282728 9.8674442 12.0726393 9.4449266 10.2498241 9.1270829 8.9838178 8.8984735
459967498244 90.9633488 -21.0278213 9.62047259 10.8462385 9.4444685 9.7744756 9.3477742 9.3231267 9.3138858
31040784947204 98.5267156 -35.2049066 8.35091187 9.7843885 8.144565 8.6007111 7.9660051 7.8821108 7.8507728
31040676943876 89.8485229 -35.2202912 8.89609709 10.099686 8.7039345 9.0485452 8.5832275 8.5393843 8.52445
31040663952388 89.0769539 -34.9506997 9.15479639 10.6312363 8.889075 9.3712679 8.7051639 8.624112 8.5909141
